common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
Sea Holly,"Eryngium amethystinum, and campestre ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Erysimum allionii, helveticum, hybridum, and pumilum",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Erythronium dens-canis, grandiflorum , hendersonii, montanum, oregonum, and revolutum,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Eupatorium ageratoides, and coelestinum,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eupatorium altissimum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Eupatorium cannabium, perfoliatum, and rugosum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Eupatorium chinense v. simplicifolia, and greggii ,",,,,,,,,,"Sow on surface at 20ºC (68ºF) in light, if no germination in 4 wks, move to -4 to +4ºC (24-39ºF) for 4 wks, recycle"
,"Eupatorium maculatum, and sessilifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Eupatorium purpureum ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Spurge,"Euphorbia amygdaloides, characias, corollata, longifolia, nicaeensis, rigida, seguieriana, and wallichii ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Spurge,"Euphorbia cyparissias, dulcis, and griffithii ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) very slow germinator"
Spurge,"Euphorbia lathyris ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 2 wks, move to -4 to +4ºC (24-39ºF) for irregular germination"
Spurge,"Euphorbia marginata ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in two wks"
Spurge,"Euphorbia myrsinites ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Spurge,"Euphorbia palustris, and polychroma ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Ferula assa-foetida, and communis",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Festuca amethystina, gigantea, glauca, and ovina",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Festuca pulchella, scoparia, and valesiaca",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Fibigia clypeata,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Meadowsweet,"Filipendula hexapetala ,",,,,,,,,,"Sow at Max. 5ºC (41ºF) for 6 wks, move to 20ºC (68ºF), germination slow"
Meadowsweet,"Filipendula rubra, and ulmaria ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 12 wks, move to -4 to +4ºC (24-39ºF) for 12 wks, move to 5-12ºC (41-53ºF) for germination, sow immediately after harvest."
,Foeniculum vulgare,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Fragaria vesca ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Fragaria hybrida ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Fragaria virginiana ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Francoa sochnifolia ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular"
,"Frasera speciosa ,",,,,,,,,,"Sow at 4ºC (40ºF) for 6 wks, move to 20ºC (68ºF) for germination"
,"Fritillaria imperialis, lanceolata, meleagris, michailovskyi, pallidiflora, persica, pontica, pudica, pyrenaica, raddeana, and tubiformis ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Fuchsia magellanica ,",,,,,,,,,"Surface sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Fumana procumbens,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Blanket Flower,"Gaillardia aristata , grandiflora, lorenziana, pulchella ,",,,,,,,,,"Sow under thin cover at 20ºC (68ºF) in light, germinates in less than two wks"
,"Galanthus elwesii, graecus, nivalis, and plicatus",,,,,,,,,"Sow in moist sand at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for prolongued germination"
,"Galega officinalis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Galium boreale, mollugo, obtusum, and tinctorium ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Galium odoratum, and verum",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Galtonia candicans ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Galtonia viridiflora,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Gaultheria depressa, miqueliana, and procumbens ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several months"
,"Gaultheria shallon ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Gaura lindheimeri ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Gazania linearis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Genista carinalis, and sagittalis",,,,,,,,,"Scarify seed, Sow at 20ºC (68ºF), germinates in about two wks"
,Genista tinctoria,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Gentian,"Gentiana acaulis, andrewsii, angustifolia, asclepiadea, bavarica, brachyphylla, calycosa, clusii, crinita, dinarica, freyniana, frigida, froelichii, x hexaferreri, kochiana, lutea, makinoi, nivalis, pannonica, paradoxa, parryi, pneumonanthe, punctata, puberula, purpurea, quinguefolia, septemfida, sino-ornata, triflora, and verna ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Gentian,"Gentiana algida, cruciata, dahurica, divisa, flavida, gracilipes, kurroo, oliveri, saxosa, straminea, thianscanica, and tibetica ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Cranesbill,"Geranium asphodeloides, caespitosum, himalayense, oxonianum, and palmatum,",,,,,,,,,"Sow at 13ºC (55ºF), germinates in less than two wks"
Cranesbill,"Geranium endressii, macrorrhizum, and sylvaticum ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Cranesbill,"Geranium pratense, and pyrenaicum ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF), if no germination after 4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, then move to 5-12ºC (41-53ºF) for germination"
Cranesbill,"Geranium bohemicum, maculatum, nepalense, nodosum, palustre, phaeum, psilostemon, renardii, sanguineum, swatense, and viscosissimum ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Gerardia aspera, gattingera, and tenuifolia ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Avens,"Geum chiloense , hybridum, and macrophyllum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Avens,"Geum coccineum, montanum, pyrenaicum, and reptans ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several mos."
Avens,"Geum bulgaricum, rivale, triflorum, and urbanum ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Gillenia stipulata, and trifoliata ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Gladiolus illyricus, imbricatus, italicus, and palustris",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Glaucidium palmatum ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Glaucium corniculatum, and flavum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Glaucium vitellianum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Globularia cordifolia , nudicaulis, punctata, and trichosantha,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Glyceria maxima, and striata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Glycyrrhiza echinata, and glabra",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Goniolimon tataricum (syn. Limonium tatarica) ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Gratiola officinalis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Grindelia integrifolia, and robusta",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Gundelia tournefortii,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Gunnera manicata, scabra, and tinctoria ,",,,,,,,,,"Sow at 24-30ºC (75-86ºF), germination in about 2 weeks"
Baby's Breath,"Gypsophila pacifica, paniculata, repens, and tenuifolia gracilipes ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Baby's Breath,"Gypsophila cerastioides,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Haberlea rhodopensis ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Haberlea rhodopensis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Hebe raoulii,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Hedysarum alpinum, boreale, coronarium, and hedysaroides ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Sneezeweed,"Helenium autumnale ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Sneezeweed,"Helenium hoopesii ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Helianthella quinquenervis,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Helianthemum apenninumm, nummularium, and oelandica,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Helianthemum bicknelli, and canadense ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germ."
,"Helianthemum nummularium mutabile,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Sunflower,"Helianthus angustifolius, decapetalus, maximiliana, occidentalis, and rigidus ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Sunflower,"Helianthus grosseserratus, lactiflorus, mollis, and strumosus ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Helichrysum arenarium, bellidioides, italicum, plicatum, and thianshankum ,",,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
,Helictotrichon sempervirens,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Heliopsis helianthoides (syn. H. scabra) ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Hellebore,"Helleborus argutifolius, croaticus, dyclophyllus, dumetorum, foetidus, lividus, multifidus, niger, odorus, orientalis, purpurescens, vesicarius, viridis, and x sternii ,",,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
Daylily,"Hemerocallis hybrids, liliasphodelus, middendorffii, and minor ,",,,,,,,,,"Sow under very thin cover at Max. 5ºC (41ºF) in light, germination irregular, often several months"
,"Hepatica nobilis ,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,"Hepatica triloba ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Heracleum lanatum, and mantegazzianum",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Herniaria glabra,,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
,"Hesperis lutea, and matronalis ,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination slow"
Coral Bells,"Heuchera americana , x brizoides, nicratum, pulchella, versicola, and villosa v. macrorrhiza,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germination slow"
Coral Bells,Heuchera cylindrica,,,,,,,,,"Surface sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Coral Bells,"Heuchera micrantha, and sanguinea ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
Coral Bells,"Heuchera richardsonii (hispida) ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Hibiscus coccineus, manihot, and moscheutos, and syriacus,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germ. in less than 2 weeks"
,"Hieracium alpinum, aurantiacum, bombycinum, chondrillifolium, intybaceum, lanatum, pilocella, and umbellatum,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Hieracium longipilum, maculatum, and villosum,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Hierochloe odorata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Horminum pyrenaicum ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Hosta,"Hosta elata, minor, montana, sieboldiana, and ventricosa ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks, recycle"
,"Houstonia caerulae ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Hugueninia tanacetifolia,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Humulus lupulus ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Hutchinsia alpina ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Hylomecon japonicum,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Hymenoxys acaulis, and grandiflora ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Hymenoxys hoopesii,,,,,,,,,"Sow at 20ºC (68ºF) in light, germination slow"
,"Hypericum ascyron , calycinum, and reptans,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Hypericum androsaemum, cerastoides, coris, olympicum, orientale, patulum, perforatum, and tetrapterum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Hypericum hyssopifolium, polyphyllum, proliferum, and pulchrum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Hypochoeris uniflora,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Hypoxis hirsuta ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Hyssopus officinalis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Hystrix patula,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Iberis gibraltarica, and sempervirens ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Iberis aurosica, and saxatilis",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Iliamna remota, and rivularis",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months, but if you have the patience to nick the small seed, sow at room temperature for germination in about 3 days."
,"Incarvillea cheron, chinensis, delavayi, emodii, mairie, and olgae ,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
,"Inula acaulis, candida, ensifolia, helenium, hirta, magnifica, orientalis, racemosa, and rhizocephala ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Iris,"Iris barbata, bucharica, bulleyana, chamaeiris, chrysographes, foetidissima, forrestii, graminea, hollandica, illyrica, kamaonensis, kaempferi, lactea, laevigata, magnifica, missouriensis, orientalis, paradoxa, pseudacorus, pseudocaucasica, pumila, reichenbachii, sanguinea, sari, setosa, sibirica, sintenisii, spuria, tectorum, tenax, variegata, versicolor, virginica, and xiphioides ,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Isatis glauca, and tinctoria",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Isopyrum thalictroides,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Jankaea heldreichii,,,,,,,,,"Surface sow at 20ºC (68ºF) in light, if no germ. in 3-4 wks, move to +4ºC (39ºF) for 2-4 wks"
,"Jasione laevis, and montana ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,Jovibarba heuffelii,,,,,,,,,"Sow at 20ºC (68ºF) in light, if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Juncus effusus, and inflexus",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Juncus ensilfolius, and filiformis",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to +4ºC (39ºF) for 2-4 wks"
,"Jurinea cyanoides, and mollis",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Kalimeris incisa,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Kirengeshoma palmata,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Kitabela vitifolia ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Knautia arvensis, and macedonica ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Red Hot Poker,"Kniphofia citrina, hybrids, and uvaria ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 2 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,"Koeleria cristata, and glauca",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Kosteletzkya virginica,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
,"Krigia biflora , and virginica,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Kuhnia eupatorioides ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Lamiastrum galeobdolon,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 months, move to 5-12ºC (41-53ºF) for germination"
,"Lamium maculatum, and purpureum ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Lantana camara,,,,,,,,,"Sow under thin cover at 20ºC (68ºF) in light, germinates in about two wks"
,"Lapeirousia laxa (syn. Anomatheca laxa) ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Laserpitium gallicum, halleri, latifolium, and siler",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Sweet Pea,"Lathyrus grandiflorus, laevigatus, latifolius, palustris, venosus, and vernus ,",,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF) for germination in more than two weeks."
Sweet Pea,Lathyrus gmelinii,,,,,,,,,"Scarify seed, sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Sweet Pea,Lathyrus niger,,,,,,,,,"Scarify seed, sow at Max. 5ºC (41ºF), germination irregular, often several months"
Lavender,"Lavandula angustifolia , laciniata, latifolia, and stoechas,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Lavender,Lavandula lanata,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 6 wks, move to 18ºC (65ºF) for germ. in 1 to 3 months"
,"Lavatera arborea ,",,,,,,,,,Sow at +4ºC (39ºF) for germ. in about 5 wks
,"Lavatera cachemiriana, and thuringiaca",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Leibnitzia anandria, kunzeana, and nepalensis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Leontodon crispum, and rigens ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Leontopodium alpinum, and palibinianum ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
,Leontopodium souliei,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Leonurus cardiaca,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Leonurus marrubiastrum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Lespedeza capitata, hirta, and leptostachya ,",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Lespedeza thunbergii ,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Sow at 20ºC (68ºF), germinates in less than 2 weeks"
Shasta Daisy,"Leucanthemum graminifolium, and x superbum",,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
,Leucogenes grandiceps,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Leucojum aestivum, and vernum",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Leuzea rhapontica,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Levisticum officinalis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Lewisia brachycalyx, columbiana, cotyledon, longipetala, nevadensis, oppositifolia, pygmaea, rediviva, sierrae, and tweedyi ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for irregular germination"
,Leycesteria formosa,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Blazing Star,"Liatris aspera, cylindracea, ligulistylis, punctata, pycnoshachya, scariola nieu ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Blazing Star,"Liatris earlei, elegans, graminifolia, scariosa, spicata, and squarrosa ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Blazing Star,"Liatris mucronata ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to 4ºC (40ºF) for 12 wks, move to 5-12ºC (41-53ºF) for germination"
,Libertia grandiflora,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
Leopard Plant,"Ligularia hybrids ,",,,,,,,,,"Sow at 20ºC (68ºF), germination rapid if you get good seed, look for fat ones."
Leopard Plant,"Ligularia clivorum, dentata, fischeri, macrophylla, przewalskii, sibirica, stenocephala, veitchiana, and wilsoniana ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Lilium bulbiferum, candidum, carniolicum, columbianum, and wilmottiae",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Lilium formosanum, and pumilum ,",,,,,,,,,"Sow at 10ºC (50ºF), germinates in less than two wks"
,"Lilium martagon, oxypetalum v. insigne, pyrenaicum, and regale ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Lilium michiganense, and philadelphicum v. endinum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Lilium philippinense,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 4 wks, move to -4 to +4ºC (24-39ºF) for 4 wks, move to 5-12ºC (41-53ºF) for germination"
,"Limonium gougetianum, latifolium, perezii, sinensis, and tataricum ,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
,"Limonium bellidifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
